brand,category,cashback,upsized,upsize_ends_at_utc,category_rates,tracking_time,claim_time,url
1byone Audio,Home & Garden,10.5% Cashback,,,,2 days,75 days,https://www.shopback.com.au/1byone-audio
1st Energy (Compare),Finance & Utilities,Up to $160 Cashback,yes,2026-07-21T13:59:59.000Z,New Gas & Electricity Signups: $$160; New Electricity Signups: $$100; New Gas Signups: $$60,15 days,120 days,https://www.shopback.com.au/1st-energy
2XU,Fashion,3% Cashback,,,,2 days,80 days,https://www.shopback.com.au/2xu
4S eSim,Digital & VPNs,12% Cashback,,,,2 Days,65 Days,https://www.shopback.com.au/4sesim
4WD Supacentre,Home & Garden,2.5% Cashback,,,Standard Cashback: 2.5%,2 days,90 days,https://www.shopback.com.au/4wd-supacentre
Above the Clouds,Fashion,3% Cashback,,,Standard Cashback: 3%,2 days,90 days,https://www.shopback.com.au/above-the-clouds
Above The Collar,Beauty,Up to 4.9% Cashback,,,New Customer: 4.9%; Existing Customer: 2.8%,2 days,90 days,https://www.shopback.com.au/above-the-collar
Abrand Jeans,Fashion,5% Cashback,,,Standard Cashback: 5%,2 days,95 days,https://www.shopback.com.au/abrand
Accor Live Limitless,Travel,Up to 5% Cashback,,,"New Customer (Luxury, Lifestyle by Ennismore & Premium Hotels): 5%; New Customer (Midscale & Economy Hotels): 4%; Non-elite Customer (Luxury, Lifestyle by Ennismore & Premium Hotels): 3%; Non Elite Customer (Midscale & Economy Hotels): 2%; Elite Customer (Luxury Lifestyle by Ennismore & Premium Hotels): 1%",7 days,120 days after your trip,https://www.shopback.com.au/accor-live-limitless
Acler,Fashion,3% Cashback,,,Standard Cashback: 3%,2 days,95 days,https://www.shopback.com.au/acler
acmé de la vie- ADLV,Fashion,2.52% Cashback,,,,2 days,90 days,https://www.shopback.com.au/acme-de-la-vie
ActewAGL (Compare),Finance & Utilities,Up to $160 Cashback,yes,2026-07-21T13:59:59.000Z,New Gas & Electricity Signups: $$160; New Electricity Signups: $$100; New Gas Signups: $$60,15 days,120 days,https://www.shopback.com.au/actewagl
Adairs,Home & Garden,2% Cashback,,,Standard Cashback: 2%,2 days,95 days,https://www.shopback.com.au/adairs
Adam &amp; Eve,Marketplace,6% Cashback,,,Standard Cashback: 6%,2 days,90 days,https://www.shopback.com.au/adam-eve
adidas,Fashion,12% Cashback,yes,2026-07-19T13:59:59.000Z,Standard Cashback: 12%; Code Usage: 0%,2 days,95 days,https://www.shopback.com.au/adidas
Adobe,Digital & VPNs,Up to 50% Cashback,,,Document Cloud Subscription -Monthly Payment (Cashback for the first month only): 50%; Creative Cloud Subscription -Monthly Payment (Cashback for the first month only): 50%; Document Cloud Subscription -Prepaid: 4.9%; Creative Cloud Subscription -Yearly: 4.9%; Trial Subscriptions or Consultations: 0%,2 days,90 days,https://www.shopback.com.au/adobe
ADOR,Digital & VPNs,10% Cashback,,,,2 days,90 days,https://www.shopback.com.au/ador
Adore Beauty,Beauty,Up to 2% Cashback,,,New Adore Beauty Customers: 2%; Existing Adore Beauty Customers: 0.5%,2 days,95 days,https://www.shopback.com.au/adore-beauty
Adrenaline,Activities,10% Cashback,yes,2026-07-20T13:59:59.000Z,Standard Cashback: 10%,2 days,89 days,https://www.shopback.com.au/adrenaline
Adventure Kings,Home & Garden,3.25% Cashback,,,Standard Cashback: 3.25%,2 days,75 days,https://www.shopback.com.au/adventure-kings
Advwin,Fitness & Sports,4% Cashback,,,,2 days,90 days,https://www.shopback.com.au/advwin
Aerre,Beauty,10.5% Cashback,yes,2026-07-20T13:59:59.000Z,Standard Cashback: 10.5%,2 days,90 days,https://www.shopback.com.au/aerre
AGL (Compare),Finance & Utilities,Up to $80 Cashback,,,New Gas & Electricity Signups: $$80; New Electricity Signups: $$50;  New Gas Signups: $$32,15 days,120 days,https://www.shopback.com.au/agl-compare
Agoda,Travel,Up to 6.5% Cashback,,,"Hotel: 6.5%; Flight + Hotel (Hotel Portion): 6.5%; Airport Transfer: 3.5%; Attractions, Tours, and Others: 3.5%; eSIM: 3.5%; Flights: 1%",5 days,120 days after your trip,https://www.shopback.com.au/agoda
ahm via Compare Club,Finance & Utilities,Up to $65 Cashback,,,Family ( Opt in for Hospitals and Extras ): $$65; Couple ( Opt in for Hospitals and Extras ): $$65; All Others: $$48.75; Family: $$48.75; Couple: $$48.75; Single ( Opt in for Hospitals and Extras ): $$48.75; Single Parent ( Opt in for Hospitals and Extras ): $$48.75; Single: $$32.50; Single Parent: $$32.50,2 days,120 days,https://www.shopback.com.au/ahm
AIMN,Fashion,7.7% Cashback,yes,2026-07-20T13:59:59.000Z,Standard Cashback: 7.7%,2 days,90 days,https://www.shopback.com.au/aimn
Aiper,Home & Garden,8% Cashback,,,,2 Days,95 Days,https://www.shopback.com.au/aiper
Air India,Travel,0.45% Cashback,,,Standard Cashback: 0.45%,2 days,90 days after your trip,https://www.shopback.com.au/air-india
Air New Zealand,Travel,0.5% Cashback,,,Standard Cashback: 0.5%,2 days,120 days after your trip,https://www.shopback.com.au/air-new-zealand
Airalo,Travel,21% Cashback,yes,,Standard Caashback: 21%,2 days,90 days after your trip,https://www.shopback.com.au/airalo
AirAsia Travel,Travel,Temporarily unavailable,,,,2 days,110 days after the trip,https://www.shopback.com.au/airasiatravel
Airhub App,Travel,4.2% Cashback,,,,2 days,90 days after your trip,https://www.shopback.com.au/airhub
Airpaz,Travel,1.05% Cashback,,,,2 days,90 days after your trip,https://www.shopback.com.au/airpaz
Airwallex,Digital & VPNs,$288 Cashback,yes,,First Transaction post Sign-up: $$288,2 days,90 days,https://www.shopback.com.au/airwallex
Aje.,Fashion,3% Cashback,,,Standard Cashback: 3%,2 days,90 days,https://www.shopback.com.au/aje
Alexandra,Fashion,4% Cashback,,,Standard Cashback: 4%,2 days,35 days,https://www.shopback.com.au/alexandra
AliExpress,Marketplace,Up to 5% Cashback,,,,5 days,105 days,https://www.shopback.com.au/aliexpress
Alinta Energy (Compare),Finance & Utilities,Up to $160 Cashback,yes,2026-07-21T13:59:59.000Z,New Gas & Electricity Signups: $$160; New Electricity Signups: $$100; New Gas Signups: $$60,15 days,120 days,https://www.shopback.com.au/alinta-energy
ALL Accor+,Travel,4.8% Cashback,,,Membership Subscription: 4.8%,2 days,120 days after your trip,https://www.shopback.com.au/accor-plus
All Blacks Shop,Fashion,1.4% Cashback,,,Standard Cashback: 1.4%,2 days,90 days,https://www.shopback.com.au/all-blacks-shop
Ally Fashion,Fashion,Up to 5.4% Cashback,,,New Ally Fashion Customers: 5.4%; Existing Ally Fashion Customers: 4.2%; Sale Items: 3%,2 days,80 days,https://www.shopback.com.au/ally-fashion
Althea,Beauty,5% Cashback,,,,1 days,75 days,https://www.shopback.com.au/althea
Altina Drinks,Alcohol,6% Cashback,,,,2 days,90 days,https://www.shopback.com.au/altina-drinks
Amazon,Marketplace,Up to 5% Cashback,,,"Amazon Devices (Echo, Fire TV & Tablet, Ring Smart Security, Eero Mesh Wi-Fi ONLY): 5%; Physical Books: 4%; Toys (Includes Baby Toys): 4%; Office Products: 2.5%; Musical Instruments: 2.5%; Lawn & Garden: 2%; Alcohol (Includes Wine, Beer & Spirits, Pre-Mixed Drinks): 2%; Electronics (Includes Bluetooth Speakers, Headphones, Speakers): 1.5%; Automotive (Includes Car Care, Tools & equipments, Oil & Fluids, Motorbike & Accessories): 1%; Pantry Food & Drinks: 0.5%; Major Appliances: 0%; Personal Care Appliances ( Including Electronic Personal Care ): 0%; Jewelry: 0%; DVD & Blu-Ray: 0%; Luxury Beauty: 0%; Computers (Includes Desktops, Laptops, Computer Bags, Monitors, Accessories, Storage, Network): 0%; Apparel: 0%; Tires: 0%; Kitchen & Dining: 0%; Digital Software: 0%; Watches: 0%; Physical Music (Includes CDs, Records, Cassette Tapes): 0%; Others: 0%; Home Entertaiment (Includes TVs, Projectors, Sound Bars, Home Theatre Systems, Amplifiers): 0%; Home (Includes Bed Bath, Decor, Storage & Organisation, Heaters, Fans, Vacuum Cleaners, Mattresses ): 0%; Shoes, Handbags & Accessories: 0%; Beauty (Includes Haircare & Hair Styling, Makeup, Fragrances, Manicures): 0%; Hardware Tools: 0%; Physical Video Games: 0%; Business & Industrial Supplies: 0%; Home Improvement ( Includes Kitchen & Bath, Electrical, Smart Lights, Fans, Hardware ): 0%; Furniture: 0%; Software: 0%; Camera, Camera Bags, Binoculars: 0%; Digital Video Games: 0%; Luggage & Backpacks: 0%; Pet Food & Supplies: 0%; Sports & Outdoors: 0%; Baby Products (Includes Strollers, Car Seats, Car Seats, Safety Equipment): 0%; Health, Household Products (Includes Laundry, Supplement, Cleaning Supplies): 0%; Mobile Phones & Wearable Tech (Includes Smartwatches, Fitness Trackers, Dashcams, Tablets, Navigation): 0%",4 days,95 days,https://www.shopback.com.au/amazon-australia
Amazon Music Unlimited,Tech,$2.20 Cashback,,,Amazon Music Subscription: $$2.20; Amazon Music Trial: $$0,2 days,90 days,https://www.shopback.com.au/amazon-music-unlimited
Amazon Prime Video,Home & Garden,Up to 2% Cashback,,,SVOD (30 days Free Trial Subscription Sign Up): $$2.83; TVOD Action: 2%; First Stream: $$1.89; Amazon Prime Video Channel Subscription: $$0.94,2 days,90 days,https://www.shopback.com.au/prime-video
Amber Sceats,Fashion,7.5% Cashback,,,,2 days,90 days,https://www.shopback.com.au/amber-sceats
Ameliorate,Other,Up to 7% Cashback,,,New Customers: 7%; Existing Customers: 3.5%; Use of Voucher Codes: 1.4%,2 days,90 days,https://www.shopback.com.au/ameliorate
American Eagle,Fashion,2.8% Cashback,,,,2 days,90 days,https://www.shopback.com.au/american-eagle
American Provenance,Health & Beauty,7% Cashback,,,,2 days,90 days,https://www.shopback.com.au/american-provenance
American Tourister,Travel,12% Cashback,yes,2026-07-20T13:59:59.999Z,Standard Cashback: 12%,2 days,75 days after your trip,https://www.shopback.com.au/american-tourister
Amore Mall,Beauty,4% Cashback,,,Standard Cashback: 4%,2 days,50 days,https://www.shopback.com.au/amore-mall
Anaconda,Home & Garden,Up to 1.2% Cashback,,,Standard Cashback: 1.2%; Order with Coupon: 0.6%,2 days,75 days,https://www.shopback.com.au/anaconda
Ancestry,Digital & VPNs,5.6% Cashback,,,Standard Cashback: 5.6%,2 days,95 days,https://www.shopback.com.au/ancestry-com-au
Andie Swim,Fashion,3% Cashback,,,,2 days,90 days,https://www.shopback.com.au/andie-swim
Angara,Fashion,8.4% Cashback,yes,,Standard Cashback: 8.4%,2 days,75 days,https://www.shopback.com.au/angara
Angles90,Fitness & Sports,3% Cashback,,,Standard Cashback: 3%,2 days,70 days,https://www.shopback.com.au/angles90
Angus &amp; Robertson Bookworld,Books & Media,Up to 2.7% Cashback,,,New Angus & Robertson Customers: 2.7%; Existing Angus & Robertson Customers: 1.35%,2 days,135 days,https://www.shopback.com.au/angus-robertson-bookworld
Animoto,Digital & VPNs,0.7% Cashback,,,Standard Purchases: 0.7%,2 days,90 days,https://www.shopback.com.au/animoto
Anine Bing,Fashion,Up to 2.5% Cashback,,,Full Priced Items: 2.5%; Sale Items: 1%,2 days,105 days,https://www.shopback.com.au/anine-bing
Annie Cloth,Fashion,8.4% Cashback,,,,2 days,5 days,https://www.shopback.com.au/annie-cloth
Anolon,Home & Garden,4.9% Cashback,,,,2 days,90 days,https://www.shopback.com.au/anolon
Anthony Squires,Fashion,6% Cashback,,,,2 days,75 days,https://www.shopback.com.au/anthony-squires
Antonioli Malls,Fashion,5.6% Cashback,,,,2 days,90 days,https://www.shopback.com.au/antonioli
Anycubic,Home & Garden,2.5% Cashback,,,,2 days,90 days,https://www.shopback.com.au/anycubic
Apex Car Rentals,Cars & Auto,4% Cashback,,,Standard Cashback: 4%,2 days,120 days after your trip,https://www.shopback.com.au/apex-car-rentals
Apple Music,Digital & VPNs,Up to 50% Cashback,,,Apple Music membership: 50%; Music: 1.25%,9 days,90 days,https://www.shopback.com.au/apple-music
Apple Store Online,Tech,1% Cashback,,,Education Store: 1%; Standard Cashback: 1%,7 days,85 days,https://www.shopback.com.au/apple
Arabian Adventures,Travel,Temporarily unavailable,,,,2 Days,35 Days after your trip,https://www.shopback.com.au/arabianadventures
Ark Swimwear,Fashion,5% Cashback,,,,2 days,90 days,https://www.shopback.com.au/ark-swimwear
ARLO,Home & Garden,Temporarily unavailable,,,,2 days,35 days,https://www.shopback.com.au/arlo
Arms Of Eve,Fashion,Up to 5% Cashback,,,New Customers: 5%; Existing Customers: 2.5%,2 days,65 days,https://www.shopback.com.au/arms-of-eve
AROMABABY,Beauty,2.6% Cashback,,,,2 days,90 days,https://www.shopback.com.au/aromababy
Ascott Star Rewards,Travel,Temporarily unavailable,,,,2 days,90 days after your trip,https://www.shopback.com.au/ascott-star-rewards
ASICS,Fashion,2.5% Cashback,,,"Standard Cashback: 2.5%; Superblast 3 (0020063902), ASICS Work Boots, METASPEED RAY, METASPEED SKY, METASPEED EDGE, SUPERBLAST, MEGABLAST, Gift Cards and EQL Draws: 0%",2 days,65 days,https://www.shopback.com.au/asics
ASOS,Fashion,Up to 3.6% Cashback,,,New ASOS Customers: 3.6%; Existing ASOS Customers: 1.25%,2 days,90 days,https://www.shopback.com.au/asos
Aspiga,Fashion,1% Cashback,,,Standard Cashback: 1%,2 days,65 days,https://www.shopback.com.au/aspiga
Aspinal of London,Fashion,Up to 10.5% Cashback,yes,2026-07-20T13:59:59.999Z,Standard Cashback: 10.5%; Default rate: 0.5%,2 days,120 days,https://www.shopback.com.au/aspinal-of-london
Aston Villa Official Store,Fashion,2.4% Cashback,,,,2 days,90 days,https://www.shopback.com.au/aston-villa-official-store
AtlasVPN,Digital & VPNs,Up to 65% Cashback,,,Monthly Subscription: 65%; All Other Products: 39%; 3 Years Subscription: $$26.60; Yearly Subscription: $$17.80,2 days,75 days,https://www.shopback.com.au/atlasvpn
Atlético de Madrid Shop,Fashion,1.2% Cashback,,,,2 days,90 days,https://www.shopback.com.au/atletico-de-madrid
Atoms,Fashion,6% Cashback,,,,2 days,90 days,https://www.shopback.com.au/atoms
AttractionTickets.com AU,Travel,Up to 0.7% Cashback,,,Standard Cashback: 0.7%; Disney Paris Hotel & Disney Paris Tickets: 0.3%,2 days,90 days after your trip,https://www.shopback.com.au/attraction-tickets
Attractiontix,Travel,1.75% Cashback,,,,2 days,75 days after your trip,https://www.shopback.com.au/attractiontix
Atura,Travel,1.8% Cashback,,,Standard Cashback: 1.8%,2 days,120 days after your trip,https://www.shopback.com.au/atura
Atwell Suites,Travel,2.1% Cashback,,,,2 days,120 days after your trip,https://www.shopback.com.au/atwell-suites
Auguste The Label,Fashion,3% Cashback,,,,2 days,75 days,https://www.shopback.com.au/auguste-the-label
Aunt Betty Travel,Travel,1.4% Cashback,,,Standard Cashback: 1.4%,2 days,90 days after your trip,https://www.shopback.com.au/aunt-betty-travel
AURA Home,Home & Garden,Up to 3.78% Cashback,,,Standard Cashback without the use of Coupons: 3.78%; Standard Cashback with the use of Listed Coupons: 2.7%,2 days,90 days,https://www.shopback.com.au/aurahome
Auras Insurance,Finance & Utilities,14% Cashback,,,Standard Cashback: 14%,2 days,65 days,https://www.shopback.com.au/auras-insurance
Aussie Broadband,Digital & VPNs,$90 Cashback,yes,2026-07-21T13:59:59.000Z,Standard Cashback: $$90,2 days,120 days,https://www.shopback.com.au/aussie-broadband-cimet
Aussie Health Products,Health & Beauty,Up to 3% Cashback,,,"All Other Products: 3%; DermaSukin, Sukin Skincare & Vital Greens: 2.5%",2 days,90 days,https://www.shopback.com.au/aussie-health-products
Aussie home loans,Finance & Utilities,Up to $350 Cashback,,,Settlement: $$350; Appointment Held: $$25; Appointment  Booking: $$15; Customer Creation: $$5,2 days,90 days,https://www.shopback.com.au/aussie-home-loans
aussieBum,Fashion,4% Cashback,,,Standard Cashback: 4%,2 days,35 days,https://www.shopback.com.au/aussiebum
Australia Post Travel Insurance,Finance & Utilities,5% Cashback,,,Standard Cashback: 5%,2 days,75 days,https://www.shopback.com.au/australia-post-travel-insurance
Australian Unity via Compare Club,Finance & Utilities,Up to $65 Cashback,,,Family ( Opt in for Hospitals and Extras ): $$65; Couple ( Opt in for Hospitals and Extras ): $$65; All Others: $$48.75; Family: $$48.75; Couple: $$48.75; Single ( Opt in for Hospitals and Extras ): $$48.75; Single Parent ( Opt in for Hospitals and Extras ): $$48.75; Single: $$32.50; Single Parent: $$32.50,2 days,120 days,https://www.shopback.com.au/australian-unity
Auto Europe Car Rentals,Travel,1.5% Cashback,,,,2 days,75 days after your trip,https://www.shopback.com.au/auto-europe-car-rentals
Autobarn,Home & Garden,1.8% Cashback,,,Standard Cashback: 1.8%,2 days,90 days,https://www.shopback.com.au/autobarn
Autodesk,Digital & VPNs,5.4% Cashback,,,Standard Cashback: 5.4%,2 days,120 days,https://www.shopback.com.au/autodesk
Automotive Superstore,Home & Garden,1.2% Cashback,,,Standard Cashback: 1.2%,2 days,90 days,https://www.shopback.com.au/automotive-superstore
AVAST Software,Digital & VPNs,15% Cashback,,,,2 days,50 days,https://www.shopback.com.au/avast-software
Aveda,Beauty,Up to 6.6% Cashback,,,New Aveda Customers: 6.6%; Existing Aveda Customers: 3.3%,4 days,90 days,https://www.shopback.com.au/aveda
Avery Products,Digital & VPNs,2.5% Cashback,,,Standard Cashback: 2.5%,2 days,35 days,https://www.shopback.com.au/avery-products
AVG Technologies,Tech,18% Cashback,,,Standard Cashback: 18%,2 days,50 days,https://www.shopback.com.au/avg-technologies
Avid,Digital & VPNs,10.5% Cashback,,,Standard Purchases: 10.5%,2 days,90 days,https://www.shopback.com.au/avid
AVID Hotels,Travel,2.1% Cashback,,,,2 days,120 days after your trip,https://www.shopback.com.au/avid-hotels
Avira,Digital & VPNs,18% Cashback,,,Standard Cashback: 18%,2 days,25 days,https://www.shopback.com.au/avira
AVIS,Travel,Up to 3.5% Cashback,,,Standard Cashback (AU & NZ bookings): 3.5%; Other rental pick up locations except for AU & NZ: 1%,2 days,120 days after your trip,https://www.shopback.com.au/avis
AXL+CO AU,Fashion,1.8% Cashback,,,,2 days,120 days,https://www.shopback.com.au/axlandco
ba.de,Fashion,3.5% Cashback,,,,2 days,75 days,https://www.shopback.com.au/bade
Baby Bunting,Baby & Kids,Up to 1.5% Cashback,,,New Customer: 1.5%; Existing Customer: 0.5%,2 days,105 days,https://www.shopback.com.au/baby-bunting
Baby Tula,Baby & Kids,2.8% Cashback,,,,2 days,90 days,https://www.shopback.com.au/baby-tula
Baccarat,Home & Garden,Up to 3.6% Cashback,,,Standard Cashback: 3.6%; Hot Buy Appliances: 1.8%,2 days,90 days,https://www.shopback.com.au/baccarat
Bali Niksoma Boutique Beach Resort,Travel,4.2% Cashback,,,,2 days,100 days after your trip,https://www.shopback.com.au/bali-niksoma-boutique-beach-resort
Balsam Hill,Home & Garden,2% Cashback,,,Standard Cashback: 2%,2 days,150 days,https://www.shopback.com.au/balsam-hill
Banbe Eyewear,Fashion,3% Cashback,,,Standard Cashback: 3%,2 days,90 days,https://www.shopback.com.au/banbe-eyewear
Banggood,Home & Garden,Up to 6% Cashback,,,Group B: 6%; Group A: 3.6%,2 days,90 days,https://www.shopback.com.au/banggood-com
Bangkok Airways,Travel,Temporarily unavailable,,,,2 Days,180 Days,https://www.shopback.com.au/bangkok-airways
BannerBuzz AU,Books & Media,7.5% Cashback,,,,2 days,75 days,https://www.shopback.com.au/bannerbuzz-au
Banyan Tree Bintan,Travel,4% Cashback,,,,2 Days,55 Days after your trip,https://www.shopback.com.au/banyantreebintan
Barbeques Galore,Home & Garden,Up to 3% Cashback,,,All Other: 3%; Delivery Type: Core: 3%; Sales Items: 0.3%,2 days,90 days,https://www.shopback.com.au/barbeques-galore
Bardot,Fashion,10.5% Cashback,yes,2026-07-20T13:59:59.999Z,Standard Cashback: 10.5%,2 days,80 days,https://www.shopback.com.au/bardot
Bardot Junior,Fashion,10.5% Cashback,yes,2026-07-20T13:59:59.999Z,Standard Cashback: 10.5%,2 days,95 days,https://www.shopback.com.au/bardot-junior
Bassike,Fashion,Up to 4.9% Cashback,,,New Customer: 4.9%; Sale items: 3.5%; Existing Customer: 3.5%,2 days,95 days,https://www.shopback.com.au/bassike
BCF,Home & Garden,1% Cashback,,,Standard Cashback: 1%,2 days,75 days,https://www.shopback.com.au/bcf
Beach Scape Kin Ha Villas,Travel,2.4% Cashback,,,,2 days,90 days after your trip,https://www.shopback.com.au/beach-scape-kin-ha-villas
Beauty Affairs,Beauty,7% Cashback,,,,2 days,75 days,https://www.shopback.com.au/beauty-affairs
Beauty Amora,Beauty,12.6% Cashback,yes,2026-07-20T13:59:59.000Z,Standard Cashback: 12.6%,2 days,150 days,https://www.shopback.com.au/beauty-amora
Because Market,Home & Garden,$30 Cashback,,,Trial or CBD Purchase: $$30; Subscription: $$0,2 days,90 days,https://www.shopback.com.au/becausemarket
BecexTech,Tech,0.5% Cashback,,,,2 days,90 days,https://www.shopback.com.au/becextech
Bed Bath N&#x27; Table,Home & Garden,6% Cashback,yes,2026-07-20T13:59:59.999Z,Standard Cashback: 6%,2 days,80 days,https://www.shopback.com.au/bed-bath-n-table
BeDaring,Fashion,10.5% Cashback,,,Standard Cashback: 10.5%,2 days,35 days,https://www.shopback.com.au/bedaring
Bedding co.,Home & Garden,4% Cashback,,,Standard Cashback: 4%,2 days,35 days,https://www.shopback.com.au/bedding-co
Beds n Dreams,Home & Garden,5.6% Cashback,yes,2026-07-20T13:59:59.999Z,Standard Cashback: 5.6%,2 days,65 days,https://www.shopback.com.au/beds-n-dreams
Bedworks,Home & Garden,0.75% Cashback,,,,2 days,75 days,https://www.shopback.com.au/bedworks
Bedzy,Home & Garden,Up to 3.5% Cashback,,,Standard Cashback: 3.5%; Use of Coupon Codes: 0.7%,2 days,90 days,https://www.shopback.com.au/bedzy
Beer Cartel,Alcohol,2.5% Cashback,,,,2 days,90 days,https://www.shopback.com.au/beer-cartel
Beginning Boutique,Fashion,Up to 3% Cashback,,,New Beginning Boutique Customers: 3%; Existing Beginning Boutique Customers: 1.5%,2 days,75 days,https://www.shopback.com.au/beginning-boutique
BeLive Hotels,Travel,2.4% Cashback,,,,2 days,90 days after your trip,https://www.shopback.com.au/be-live-hotels
Belle &amp; Bloom,Fashion,3% Cashback,,,Standard Cashback: 3%,2 days,95 days,https://www.shopback.com.au/belle-and-bloom
Bellezeke,Fashion,10.5% Cashback,,,,2 days,90 days,https://www.shopback.com.au/bellezeke
Bellissima Hairtools,Beauty,3% Cashback,,,Standard Cashback: 3%,2 days,70 days,https://www.shopback.com.au/bellissimahairtools
Bellroy,Fashion,4.5% Cashback,,,Standard Cashback: 4.5%,2 days,95 days,https://www.shopback.com.au/bellroy
Berlei,Fashion,3.5% Cashback,,,,2 days,80 days,https://www.shopback.com.au/berlei
Bernardelli,Fashion,4.2% Cashback,,,,2 days,90 days,https://www.shopback.com.au/bernardelli
Bessemer,Home & Garden,4% Cashback,,,Standard Cashback: 4%,2 days,65 days,https://www.shopback.com.au/bessemer
Best &amp; Less,Fashion,10% Cashback,yes,2026-07-20T13:59:59.999Z,Standard Cashback: 10%,2 days,90 days,https://www.shopback.com.au/best-and-less
BestDeals,Home & Garden,3.5% Cashback,,,,2 days,90 days,https://www.shopback.com.au/bestdeals
Betta,Home & Garden,3.4% Cashback,yes,2026-07-21T13:59:59.000Z,Standard Cashback: 3.4%,2 days,95 days,https://www.shopback.com.au/betta
Bevilles Jewellers,Fashion,Temporarily unavailable,,,,2 days,90 days,https://www.shopback.com.au/bevilles-jewellers
Big Bat Box,Pets,Temporarily unavailable,,,,2 days,70 days,https://www.shopback.com.au/big-bat-box
BIG W,Marketplace,Up to 2.5% Cashback,,,Marketplace (Order Total greater than $51 exc Tax): 2.5%; Big W (Order Total greater than $51 exc Tax): 0.25%,3 days,155 days,https://www.shopback.com.au/bigw
Billini,Fashion,Up to 3% Cashback,,,New Billini Customers: 3%; Existing Billini Customers: 1.2%,2 days,90 days,https://www.shopback.com.au/billini
Billy Guyatts,Home & Garden,3.4% Cashback,yes,,Standard Cashback: 3.4%,2 days,95 days,https://www.shopback.com.au/billy-guyatts
Binance.com,Finance & Utilities,$13 Cashback,,,First Trade: $$13,2 days,90 days,https://www.shopback.com.au/binance
Bing Lee,Tech,1.5% Cashback,,,Standard Cashback: 1.5%,2 days,105 days,https://www.shopback.com.au/bing-lee
Binge,Digital & VPNs,Up to $30 Cashback,,,Premium Annual Subscription (New Customers): $$30; Standard Annual Subscription (New Customers): $$24; Premium Annual Subscription (Return Customers): $$15; Premium Monthly Subscription (New Customers): $$13; Basic Annual Subscription (New Customers): $$12; Standard Annual Subscription (Return Customers): $$12; Standard Monthly Subscription (New Customers): $$11; Premium Monthly Subscription (Return Customers): $$6.60; Basic Annual Subscription (Return Customers): $$6; Basic Monthly Subscription (New Customers): $$6; Standard Monthly Subscription (Return Customers): $$5.70; Basic Monthly Subscription (Return Customers): $$3,2 days,105 days,https://www.shopback.com.au/binge
Biome Eco Stores,Home & Garden,Up to 6% Cashback,,,New Biome Eco Customers: 6%; Existing Biome Eco Customers: 4.2%,2 days,75 days,https://www.shopback.com.au/biome-eco-stores
Biotherm,Beauty,Up to 3.6% Cashback,,,New Customer Cashback: 3.6%; Existing Customer Cashback: 1.2%,2 days,90 days,https://www.shopback.com.au/biotherm
Biovea,Health & Beauty,3.5% Cashback,,,,2 days,90 days,https://www.shopback.com.au/biovea
Birdsnest,Fashion,3.5% Cashback,,,,2 days,95 days,https://www.shopback.com.au/birdsnest
BISSELL,Tech,7% Cashback,yes,2026-07-20T13:59:59.999Z,Standard Cashback: 7%,2 days,95 days,https://www.shopback.com.au/bissell
Bistara Linen,Home & Garden,9% Cashback,,,,2 days,90 days,https://www.shopback.com.au/bistara-linen
Bitcoin.com.au,Finance & Utilities,15% Cashback,,,Brokerage Fee Cashback: 15%,2 days,65 days,https://www.shopback.com.au/bitcoincomau
Black Label Sex Toys,Health & Beauty,7% Cashback,,,,2 days,75 days,https://www.shopback.com.au/black-label-sex-toys
Black Pepper,Fashion,10.5% Cashback,yes,2026-07-20T13:59:59.000Z,Standard Cashback: 10.5%,2 days,75 days,https://www.shopback.com.au/black-pepper
Blackmores,Health & Beauty,5% Cashback,,,,2 days,80 days,https://www.shopback.com.au/blackmores
Blinkist,Digital & VPNs,10% Cashback,,,,2 days,75 days,https://www.shopback.com.au/blinkist
Bloomeroo,Home & Garden,6% Cashback,,,,2 days,75 days,https://www.shopback.com.au/bloomeroo
Blue Bay Resorts,Travel,2.4% Cashback,,,,2 days,90 days after your trip,https://www.shopback.com.au/blue-bay-resorts
Blue Illusion,Fashion,5% Cashback,,,Standard Cashback: 5%,2 days,90 days,https://www.shopback.com.au/blue-illusion
Blue Nile,Fashion,0.6% Cashback,,,,2 days,75 days,https://www.shopback.com.au/blue-nile
Blue NRG (Compare),Finance & Utilities,Up to $160 Cashback,yes,2026-07-21T13:59:59.000Z,New Gas & Electricity Signups: $$160; New Electricity Signups: $$100; New Gas Signups: $$60,15 days,120 days,https://www.shopback.com.au/blue-nrg
Blue Travel Insurance,Finance & Utilities,15% Cashback,yes,2026-07-19T13:59:59.000Z,Standard Cashback: 15%,2 days,90 days,https://www.shopback.com.au/blue-travel-insurance
Bluebella,Fashion,8.4% Cashback,yes,2026-07-19T13:59:59.999Z,Standard Cashback: 8.4%,2 days,95 days,https://www.shopback.com.au/bluebella
Bluetti,Tech,3.5% Cashback,,,,2 days,90 days,https://www.shopback.com.au/bluetti-au
Blys,Beauty,5% Cashback,,,,2 days,90 days,https://www.shopback.com.au/blys
Bobbi Brown,Beauty,10.5% Cashback,yes,2026-07-20T13:59:59.999Z,Standard Cashback: 10.5%,4 days,90 days,https://www.shopback.com.au/bobbi-brown
